"","Initials.Entered","Date.Entered","Call_Number","SiteCode","Latitude","Longitude","Date","Year","Cape","SubstrateType","Zone","Transect","Quadrat","TotalUrchins","PittedUrchins","CreviceUrchins","OpenUrchins","JuvenileUrchins","PittedJuveniles","RecruitUrchins","RedUrchins","EmptyPits","PitsPresent","UrchinSize1","UrchinSize2","UrchinSize3","UrchinSize4","UrchinSize5","Attached.red.drift","Attached.brown.drift","Attached.green.drift","Attached.phyllospadix.drift","Attached.other.drift","TotalAttachedDrift","Algae.holdfasts","Understory.algae","Emphermal.Greens","Surfgrass.rhizomes","Coralline.crusts","Red.and.Brown.crusts","Sessile.invertebrates","Sand","Bare.rock","Total.primary.cover..must.equal.100..","Egregia","Hedophyllum","Mastocarpus","Laminaria","Alaria","Mazzaella","Costaria","Phyllospadix..Surfgrass.","Nereocystis","Pyropia","Lessoniopsis","Fucus","Diatom","Total.Canopy","MeanTest"
"1","LU","6/18/24","SB_2024_AZ_1_1","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","AZ",1,1,10,10,0,0,0,NA,NA,0,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,78,0,0,2,0,0,0,12,100,4,32,0,0,0,8,2,0,0,0,0,0,0,46,NA
"2","LU","6/18/24","SB_2024_AZ_1_2","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","AZ",1,2,28,28,0,0,1,NA,NA,0,2,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,38,2,0,6,0,0,0,54,100,0,0,0,0,0,8,0,0,0,0,0,0,0,8,NA
"3","LU","6/18/24","SB_2024_AZ_1_3","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","AZ",1,3,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,95,0,0,0,0,0,0,0,100,10,4,5,0,0,36,0,0,0,0,0,5,0,60,NA
"4","LU","6/18/24","SB_2024_AZ_1_4","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","AZ",1,4,0,0,0,0,0,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,89,5,0,0,0,0.1,1,0,100,2,9,5,0,0,20,0,0,0,0,0,0,0,36,NA
"5","LU","6/18/24","SB_2024_AZ_1_5","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","AZ",1,5,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,81,7,0,0,4,1,2,3,100,0,5,0,0,0,5,0,0,0,0,0,2,0,12,NA
"6","LU","6/18/24","SB_2024_AZ_2_1","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","AZ",2,1,1,1,0,0,0,NA,NA,0,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,89,0,0,1,0,0,1,7,100,0,6,2,0,0,36,0,0,0,0,0,0,0,44,NA
"7","LU","6/18/24","SB_2024_AZ_2_2","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","AZ",2,2,25,25,0,0,0,NA,NA,0,4,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,33,0,0,17,1,1,0,48,100,14,0,0,0,0,6,0,0,0,0,0,0,0,20,NA
"8","LU","6/18/24","SB_2024_AZ_2_3","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","AZ",2,3,11,11,0,0,0,NA,NA,0,4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,68,0,0,9,2,0,0,14,100,0,24,0,0,0,12,0,0,0,0,0,0,0,36,NA
"9","LU","6/18/24","SB_2024_AZ_2_4","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","AZ",2,4,15,15,0,0,0,NA,NA,0,10,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,24,0,0,13,4,1,1,53,100,3,10,0.1,0,0,16,0,0,0,0,0,0,0,29.1,NA
"10","LU","6/18/24","SB_2024_AZ_2_5","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","AZ",2,5,10,10,0,0,0,NA,NA,0,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,59,0,0,6,6,1,0,18,100,28,35,0,0,0,20,0,0,0,0,0,0,0,83,NA
"11","LU/DJC","6/25/24","SB_2024_UPZ_1_1","SB",43.3339,-124.3767,"5/26/24",2024,"CA","VB","UPZ",1,1,25,25,0,0,2,NA,NA,0,28,54,5.6,3.1,4.2,3.9,3.8,"1","0","0","2","1",4,0,32,0,0,6,0,1,20,41,100,0,0,5,0,0,0,0,0,0,0,0,0,0,5,4.12
"12","LU/DJC","6/25/24","SB_2024_UPZ_1_2","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","UPZ",1,2,59,59,0,0,1,NA,NA,0,5,64,3,3,4.2,3.7,5.3,"1","0","0","1","1",3,0,7,0.1,0,22,4,0,0,67,100,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,3.84
"13","LU/DJC","6/25/24","SB_2024_UPZ_1_3","SB",43.3339,-124.3767,"5/26/24",2024,"CA","VD","UPZ",1,3,48,48,0,0,2,NA,NA,0,7,55,4.6,4.7,4,4.4,4.8,"0","1","0","1","0",2,0,3,0,0,12,0,0,1,84,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
"14","LU/DJC","6/25/24","SB_2024_UPZ_1_4","SB",43.3339,-124.3767,"5/26/24",2024,"CA","VD","UPZ",1,4,53,53,0,0,3,NA,NA,0,12,67,3.6,4.3,4.6,3.4,4,"0","0","0","1","0",1,0,0,0,0,20,0,4,2,74,100,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.98
"15","LU/DJC","6/25/24","SB_2024_UPZ_1_5","SB",43.3339,-124.3767,"5/26/24",2024,"CA","VD","UPZ",1,5,62,62,0,0,1,NA,NA,0,8,71,4,3.7,3.3,3.7,3.4,"0","1","0","2","0",3,1,8,0,0,20,0,1,1,69,100,0,4,0,0,0,1,0,0,0,0,0,0,0,5,3.62
"16","LU/DJC","6/25/24","SB_2024_UPZ_2_1","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","UPZ",2,1,41,41,0,0,1,NA,NA,0,6,52,5.1,4.2,3.8,4,4.2,"1","0","0","1","0",2,0,5,1,0,15,1,0,0,78,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26
"17","LU/DJC","6/25/24","SB_2024_UPZ_2_2","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","UPZ",2,2,46,46,0,0,0,NA,NA,0,6,52,3.7,4,4.1,5.4,2.2,"0","0","0","0","1",1,0,5,1,0,15,1,0,0,78,100,0,1,0,2,0,3,1,0,0,0,0,0,0,7,3.88
"18","LU/DJC","6/25/24","SB_2024_UPZ_2_3","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","UPZ",2,3,48,48,0,0,0,NA,NA,0,7,55,4.2,4,4.4,4.1,3.8,"0","0","0","1","0",1,0.1,9,0.1,0,9,0,0,3,79,100,0,0,0,0,0,2,1,0,0,0,0,0,0,3,4.1
"19","LU/DJC","6/25/24","SB_2024_UPZ_2_4","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","UPZ",2,4,53,53,0,0,1,NA,NA,0,5,58,4,3,4.4,4.8,3.8,"0","0","1","1","0",2,0,6,0,0,8,0,0,3,83,100,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4
"20","LU/DJC","6/25/24","SB_2024_UPZ_2_5","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","UPZ",2,5,45,45,0,0,1,NA,NA,0,5,50,3.5,3.4,3.4,3.8,3.4,"0","1","0","1","0",2,1,10,0,0,10,0,1,0.1,79,100,0,4,2,0,0,0,0,0,0,0,0,0,0,6,3.5
"21","LU/DJC","6/25/24","SB_2024_NPZ_1_1","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","NPZ",1,1,44,43,0,1,4,NA,NA,0,1,45,4.7,4.2,3.5,4.5,3.8,"0","0","0","1","0",1,0,2,0,0,8,0,0,7,83,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14
"22","LU/DJC","6/25/24","SB_2024_NPZ_1_2","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","NPZ",1,2,36,26,2,8,2,NA,NA,0,3,31,5.9,5.4,7.1,5.4,2.7,"0","2","0","1","0",3,0,2,0,0,12,2,1,0,83,100,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.3
"23","LU/DJC","6/25/24","SB_2024_NPZ_1_3","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","NPZ",1,3,35,29,4,2,0,NA,NA,0,1,30,4.2,5.6,4.6,5.7,5.5,"0","0","0","1","0",1,0,10,0,0,32,5,1,0,52,100,20,0,0,20,0,0,0,0,0,0,0,0,0,40,5.12
"24","LU/DJC","6/25/24","SB_2024_NPZ_1_4","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","NPZ",1,4,2,2,0,0,0,NA,NA,0,0,2,1.9,2.8,4,3.8,3.3,"0","0","0","0","0",0,4,35,3,0,3,0,0,0,59,100,3,10,0,14,0,0,14,0,5,0,0,0,0,46,3.16
"25","LU/DJC","6/25/24","SB_2024_NPZ_1_5","SB",43.3339,-124.3767,"5/26/24",2024,"CA","FB","NPZ",1,5,23,23,0,0,0,NA,NA,0,5,28,4.6,5.4,3.8,4.1,3.6,"0","0","0","1","0",1,0.1,23,0,0,11,0,0,1,65,100,11,0,0,9,0,1,6,0,0,0,0,0,0,27,4.3
"26","LU/DJC","6/25/24","SB_2024_NPZ_2_1","SB",43.3339,-124.3767,"5/26/24",2024,"CA","VD","NPZ",2,1,29,20,8,1,0,NA,NA,0,0,27,4.2,5.3,4.2,4.5,3.5,"0","0","0","0","0",0,1,40,0,0,8,4,4,0,44,100,0,0,0,0,0,20,0.1,0,0,0,0,0,0,20.1,4.34
"27","LU/DJC","6/25/24","SB_2024_NPZ_2_2","SB",43.3339,-124.3767,"5/26/24",2024,"CA","VD","NPZ",2,2,53,48,5,0,0,NA,NA,0,2,50,3.2,3.3,4.3,3.5,5.2,"0","0","0","0","0",0,0,15,0,0,14,1,0,0,70,100,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,3.9
"28","LU/DJC","6/25/24","SB_2024_NPZ_2_3","SB",43.3339,-124.3767,"5/26/24",2024,"CA","VD","NPZ",2,3,28,21,6,1,3,NA,NA,0,3,24,3,4,4.6,3.6,4.4,"1","0","0","1","0",2,1,25,0,0,24,6,0,9,36,100,0,0,0,0,0,0.1,6,0,0,0,0,0,0,6.1,3.92
"29","LU/DJC","6/25/24","SB_2024_NPZ_2_4","SB",43.3339,-124.3767,"5/26/24",2024,"CA","VD","NPZ",2,4,28,23,4,1,0,NA,NA,0,2,22,5.4,6.1,5.7,5.6,6.3,"0","0","0","2","0",2,0,10,0,0,12,3,0,7,68,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82
"30","LU/DJC","6/25/24","SB_2024_NPZ_2_5","SB",43.3339,-124.3767,"5/26/24",2024,"CA","VD","NPZ",2,5,20,17,3,0,0,NA,NA,0,0,17,3.5,4.4,3.4,3.9,4,"0","0","0","1","0",1,0,33,0,0,9,5,4,1,48,100,0,0,0,0,0,1,1,0,0,0,0,0,0,2,3.84
