Call_Number,SiteCode,Latitude,Longitude,Date,Year,Cape,Zone,Transect,Quadrat,SubstrateType,TotalUrchins,PittedUrchins,CreviceUrchins,OpenUrchins,JuvenileUrchins,PittedJuveniles,RecruitUrchins,RedUrchins,EmptyPits,PitsPresent,UrchinSize1,UrchinSize2,UrchinSize3,UrchinSize4,UrchinSize5,Attached red drift ,Attached brown drift ,Attached green drift ,Attached phyllospadix drift,Attached other drift,TotalAttachedDrift,Algae holdfasts,Understory algae,Emphermal Greens ,Surfgrass rhizomes ,Coralline crusts,Red and Brown crusts,Sessile invertebrates  ,Sand and Cobble,Bare rock,Total primary cover (must equal 100%),Urchin cover,Available bare rock,Egregia,Hedophyllum,Mastocarpus,Laminaria,Alaria,Mazzaella,Costaria,Phyllospadix (Surfgrass),Nereocystis,Pyropia,Lessoniopsis,Fucus,Stephanocystis,Desmerestia ,Red Blade (Opuntaela),Erhythophyllum (red blade),Chondracanthus (turkish towel),Prionitis,Unknown or Other,Diatom,Total Canopy
SB_2024_AZ_1_1,SB,43.3339,-124.3767,5/26/24,2024,CA,AZ,1,1,FB,10,10,0,0,0,,NA,0,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,78,0,0,2,0,0,0,12,100,NA,NA,4,32,0,0,0,8,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,46
SB_2024_AZ_1_2,SB,43.3339,-124.3767,5/26/24,2024,CA,AZ,1,2,FB,28,28,0,0,1,,NA,0,2,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,38,2,0,6,0,0,0,54,100,NA,NA,0,0,0,0,0,8,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,8
SB_2024_AZ_1_3,SB,43.3339,-124.3767,5/26/24,2024,CA,AZ,1,3,FB,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,95,0,0,0,0,0,0,0,100,NA,NA,10,4,5,0,0,36,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,0,60
SB_2024_AZ_1_4,SB,43.3339,-124.3767,5/26/24,2024,CA,AZ,1,4,FB,0,0,0,0,0,,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,89,5,0,0,0,0.1,1,0,100,NA,NA,2,9,5,0,0,20,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,36
SB_2024_AZ_1_5,SB,43.3339,-124.3767,5/26/24,2024,CA,AZ,1,5,FB,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,81,7,0,0,4,1,2,3,100,NA,NA,0,5,0,0,0,5,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,0,12
SB_2024_AZ_2_1,SB,43.3339,-124.3767,5/26/24,2024,CA,AZ,2,1,FB,1,1,0,0,0,,NA,0,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,89,0,0,1,0,0,1,7,100,NA,NA,0,6,2,0,0,36,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,44
SB_2024_AZ_2_2,SB,43.3339,-124.3767,5/26/24,2024,CA,AZ,2,2,FB,25,25,0,0,0,,NA,0,4,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,33,0,0,17,1,1,0,48,100,NA,NA,14,0,0,0,0,6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,20
SB_2024_AZ_2_3,SB,43.3339,-124.3767,5/26/24,2024,CA,AZ,2,3,FB,11,11,0,0,0,,NA,0,4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,68,0,0,9,2,0,0,14,100,NA,NA,0,24,0,0,0,12,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,36
SB_2024_AZ_2_4,SB,43.3339,-124.3767,5/26/24,2024,CA,AZ,2,4,FB,15,15,0,0,0,,NA,0,10,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,24,0,0,13,4,1,1,53,100,NA,NA,3,10,0.1,0,0,16,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,29.1
SB_2024_AZ_2_5,SB,43.3339,-124.3767,5/26/24,2024,CA,AZ,2,5,FB,10,10,0,0,0,,NA,0,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,59,0,0,6,6,1,0,18,100,NA,NA,28,35,0,0,0,20,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,83
SB_2024_UPZ_1_1,SB,43.3339,-124.3767,5/26/24,2024,CA,UPZ,1,1,VB,25,25,0,0,2,,NA,0,28,54,5.6,3.1,4.2,3.9,3.8,1,0,0,2,1,4,0,32,0,0,6,0,1,20,41,100,NA,NA,0,0,5,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,5
SB_2024_UPZ_1_2,SB,43.3339,-124.3767,5/26/24,2024,CA,UPZ,1,2,FB,59,59,0,0,1,,NA,0,5,64,3,3,4.2,3.7,5.3,1,0,0,1,1,3,0,7,0.1,0,22,4,0,0,67,100,NA,NA,0,0,0,0,0,0.1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.1
SB_2024_UPZ_1_3,SB,43.3339,-124.3767,5/26/24,2024,CA,UPZ,1,3,VD,48,48,0,0,2,,NA,0,7,55,4.6,4.7,4,4.4,4.8,0,1,0,1,0,2,0,3,0,0,12,0,0,1,84,100,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0
SB_2024_UPZ_1_4,SB,43.3339,-124.3767,5/26/24,2024,CA,UPZ,1,4,VD,53,53,0,0,3,,NA,0,12,67,3.6,4.3,4.6,3.4,4,0,0,0,1,0,1,0,0,0,0,20,0,4,2,74,100,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1
SB_2024_UPZ_1_5,SB,43.3339,-124.3767,5/26/24,2024,CA,UPZ,1,5,VD,62,62,0,0,1,,NA,0,8,71,4,3.7,3.3,3.7,3.4,0,1,0,2,0,3,1,8,0,0,20,0,1,1,69,100,NA,NA,0,4,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,5
SB_2024_UPZ_2_1,SB,43.3339,-124.3767,5/26/24,2024,CA,UPZ,2,1,FB,41,41,0,0,1,,NA,0,6,52,5.1,4.2,3.8,4,4.2,1,0,0,1,0,2,0,5,1,0,15,1,0,0,78,100,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0
SB_2024_UPZ_2_2,SB,43.3339,-124.3767,5/26/24,2024,CA,UPZ,2,2,FB,46,46,0,0,0,,NA,0,6,52,3.7,4,4.1,5.4,2.2,0,0,0,0,1,1,0,5,1,0,15,1,0,0,78,100,NA,NA,0,1,0,2,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,7
SB_2024_UPZ_2_3,SB,43.3339,-124.3767,5/26/24,2024,CA,UPZ,2,3,FB,48,48,0,0,0,,NA,0,7,55,4.2,4,4.4,4.1,3.8,0,0,0,1,0,1,0.1,9,0.1,0,9,0,0,3,79,100,NA,NA,0,0,0,0,0,2,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,3
SB_2024_UPZ_2_4,SB,43.3339,-124.3767,5/26/24,2024,CA,UPZ,2,4,FB,53,53,0,0,1,,NA,0,5,58,4,3,4.4,4.8,3.8,0,0,1,1,0,2,0,6,0,0,8,0,0,3,83,100,NA,NA,0,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,2
SB_2024_UPZ_2_5,SB,43.3339,-124.3767,5/26/24,2024,CA,UPZ,2,5,FB,45,45,0,0,1,,NA,0,5,50,3.5,3.4,3.4,3.8,3.4,0,1,0,1,0,2,1,10,0,0,10,0,1,0.1,78,100,NA,NA,0,4,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,6
SB_2024_NPZ_1_1,SB,43.3339,-124.3767,5/26/24,2024,CA,NPZ,1,1,FB,44,43,0,1,4,,NA,0,1,45,4.7,4.2,3.5,4.5,3.8,0,0,0,1,0,1,0,2,0,0,8,0,0,7,83,100,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0
SB_2024_NPZ_1_2,SB,43.3339,-124.3767,5/26/24,2024,CA,NPZ,1,2,FB,36,26,2,8,2,,NA,0,3,31,5.9,5.4,7.1,5.4,2.7,0,2,0,1,0,3,0,2,0,0,12,2,1,0,83,100,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1
SB_2024_NPZ_1_3,SB,43.3339,-124.3767,5/26/24,2024,CA,NPZ,1,3,FB,35,29,4,2,0,,NA,0,1,30,4.2,5.6,4.6,5.7,5.5,0,0,0,1,0,1,0,10,0,0,32,5,1,0,52,100,NA,NA,20,0,0,20,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,40
SB_2024_NPZ_1_4,SB,43.3339,-124.3767,5/26/24,2024,CA,NPZ,1,4,FB,2,2,0,0,0,,NA,0,0,2,1.9,2.8,4,3.8,3.3,0,0,0,0,0,0,4,35,3,0,3,0,0,0,55,100,NA,NA,3,10,0,14,0,0,14,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,46
SB_2024_NPZ_1_5,SB,43.3339,-124.3767,5/26/24,2024,CA,NPZ,1,5,FB,23,23,0,0,0,,NA,0,5,28,4.6,5.4,3.8,4.1,3.6,0,0,0,1,0,1,0.1,23,0,0,11,0,0,1,65,100,NA,NA,11,0,0,9,0,1,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,27
SB_2024_NPZ_2_1,SB,43.3339,-124.3767,5/26/24,2024,CA,NPZ,2,1,VD,29,20,8,1,0,,NA,0,0,27,4.2,5.3,4.2,4.5,3.5,0,0,0,0,0,0,1,40,0,0,8,4,4,0,43,100,NA,NA,0,0,0,0,0,20,0.1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,20.1
SB_2024_NPZ_2_2,SB,43.3339,-124.3767,5/26/24,2024,CA,NPZ,2,2,VD,53,48,5,0,0,,NA,0,2,50,3.2,3.3,4.3,3.5,5.2,0,0,0,0,0,0,0,15,0,0,14,1,0,0,70,100,NA,NA,0,0,0,0,0,0,0.1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.1
SB_2024_NPZ_2_3,SB,43.3339,-124.3767,5/26/24,2024,CA,NPZ,2,3,VD,28,21,6,1,3,,NA,0,3,24,3,4,4.6,3.6,4.4,1,0,0,1,0,2,1,25,0,0,24,6,0,9,35,100,NA,NA,0,0,0,0,0,0.1,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,6.1
SB_2024_NPZ_2_4,SB,43.3339,-124.3767,5/26/24,2024,CA,NPZ,2,4,VD,28,23,4,1,0,,NA,0,2,22,5.4,6.1,5.7,5.6,6.3,0,0,0,2,0,2,0,10,0,0,12,3,0,7,68,100,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0
SB_2024_NPZ_2_5,SB,43.3339,-124.3767,5/26/24,2024,CA,NPZ,2,5,VD,20,17,3,0,0,,NA,0,0,17,3.5,4.4,3.4,3.9,4,0,0,0,1,0,1,0,33,0,0,9,5,4,1,48,100,NA,NA,0,0,0,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,2
YB_2024_AZ_1_1,YB,44.3114,-124.1086,5/25/24,2024,CP,AZ,1,1,FD,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,50,7,2,0,4,36,100,NA,NA,0,0,0,0,0,0,0,88,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,88
YB_2024_AZ_1_2,YB,44.3114,-124.1086,5/25/24,2024,CP,AZ,1,2,FD,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,28,0,0,9,3,5,0,48,100,NA,NA,0,26,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,26
YB_2024_AZ_1_3,YB,44.3114,-124.1086,5/25/24,2024,CP,AZ,1,3,FD,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,7,0,0,15,1,1,0,65,100,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1
YB_2024_AZ_1_4,YB,44.3114,-124.1086,5/25/24,2024,CP,AZ,1,4,FD,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,30,0,0,4,0,0.1,0,58,100,NA,NA,0,0,0,25,24,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,51
YB_2024_AZ_1_5,YB,44.3114,-124.1086,5/25/24,2024,CP,AZ,1,5,FD,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,86,0,5,1,0,1,1,3,100,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0
YB_2024_AZ_2_1,YB,44.3114,-124.1086,5/25/24,2024,CP,AZ,2,1,FD,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,84,0,0,7,0,0,0,2,100,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0
YB_2024_AZ_2_2,YB,44.3114,-124.1086,5/25/24,2024,CP,AZ,2,2,FD,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,25,0,0,6,2,0,0,60,100,NA,NA,0,30,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,30
YB_2024_AZ_2_3,YB,44.3114,-124.1086,5/25/24,2024,CP,AZ,2,3,FD,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,80,0,0,0,3,1,0,11,100,NA,NA,24,20,0,0,6,8,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,58
YB_2024_AZ_2_4,YB,44.3114,-124.1086,5/25/24,2024,CP,AZ,2,4,FD,0,0,0,0,0,,NA,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,22,0,0,5,2,2,4,49,100,NA,NA,0,0,0,0,94,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,94
YB_2024_AZ_2_5,YB,44.3114,-124.1086,5/25/24,2024,CP,AZ,2,5,FD,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4,0,0,11,11,2,2,58,100,NA,NA,6,0,0,0,52,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,58
YB_2024_UPZ_1_1,YB,44.3114,-124.1086,8/5/24,2024,CP,UPZ,1,1,FB,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,37,0,0,1,5,19,2,36,100,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0
YB_2024_UPZ_1_2,YB,44.3114,-124.1086,8/5/24,2024,CP,UPZ,1,2,VB,1,1,0,0,0,NA,NA,0,0,0,,NA,NA,NA,NA,0,0,0,0,0,0,0.1,30,0,0,2,0.1,66,0,2,100,NA,NA,0,1,0,0,0,16,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,17
