Call_Number,SiteCode,Latitude,Longitude,Date,Year,Cape,Zone,Transect,Quadrat,Exposure (if noted),RelativeRugosity,SubstrateType,TotalAdultUrchins,PittedUrchins,CreviceUrchins,OpenUrchins,JuvenileUrchins,PittedJuveniles,RecruitUrchins,RedUrchins,EmptyPits,PitsPresent,UrchinSize1,UrchinSize2,UrchinSize3,UrchinSize4,UrchinSize5,Attached red drift ,Attached brown drift ,Attached green drift ,Attached phyllospadix drift,Attached other drift,TotalAttachedDrift,UrchinCover,AlgaeHoldfasts,UnderstoryAlgae,EmphermalGreens ,PhyllospadixRhizomes,CorallineCrusts,RedBrownCrusts,SessileInverts,SandCobble,BareRock,AvailableBareRock,TotalPrimaryCover,Egregia,Hedophyllum,Mastocarpus,Laminaria,Alaria,Mazzaella,Costaria,Phyllospadix,Nereocystis,Pyropia,Lessoniopsis,Fucus,Stephanocystis,Desmerestia ,Red Blade 2,Erhythophyllum (red blade 1),Chondracanthus (turkish towel),Prionitis,Constaninea,Unknown or Other,Diatom,Total Canopy
SB_2024_AZ_1_1,SB,43.3339,-124.3767,5/26/24,2024,CA,AZ,1,1,,,FB,10,10,0,0,0,,NA,0,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,78,0,0,2,0,0,0,12,NA,100,4,32,0,0,0,8,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,46
SB_2024_AZ_1_2,SB,43.3339,-124.3767,5/26/24,2024,CA,AZ,1,2,,,FB,28,28,0,0,1,,NA,0,2,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,38,2,0,6,0,0,0,54,NA,100,0,0,0,0,0,8,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,8
SB_2024_AZ_1_3,SB,43.3339,-124.3767,5/26/24,2024,CA,AZ,1,3,,,FB,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,95,0,0,0,0,0,0,0,NA,100,10,4,5,0,0,36,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA,0,NA,0,60
SB_2024_AZ_1_4,SB,43.3339,-124.3767,5/26/24,2024,CA,AZ,1,4,,,FB,0,0,0,0,0,,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,89,5,0,0,0,0.1,1,0,NA,100,2,9,5,0,0,20,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,36
SB_2024_AZ_1_5,SB,43.3339,-124.3767,5/26/24,2024,CA,AZ,1,5,,,FB,0,0,0,0,0,,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,81,7,0,0,4,1,2,3,NA,100,0,5,0,0,0,5,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,0,NA,0,12
SB_2024_AZ_2_1,SB,43.3339,-124.3767,5/26/24,2024,CA,AZ,2,1,,,FB,1,1,0,0,0,,NA,0,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,89,0,0,1,0,0,1,7,NA,100,0,6,2,0,0,36,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,44
SB_2024_AZ_2_2,SB,43.3339,-124.3767,5/26/24,2024,CA,AZ,2,2,,,FB,25,25,0,0,0,,NA,0,4,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,33,0,0,17,1,1,0,48,NA,100,14,0,0,0,0,6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,20
SB_2024_AZ_2_3,SB,43.3339,-124.3767,5/26/24,2024,CA,AZ,2,3,,,FB,11,11,0,0,0,,NA,0,4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,68,0,0,9,2,0,0,14,NA,100,0,24,0,0,0,12,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,36
SB_2024_AZ_2_4,SB,43.3339,-124.3767,5/26/24,2024,CA,AZ,2,4,,,FB,15,15,0,0,0,,NA,0,10,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,24,0,0,13,4,1,1,53,NA,100,3,10,0.1,0,0,16,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,29.1
SB_2024_AZ_2_5,SB,43.3339,-124.3767,5/26/24,2024,CA,AZ,2,5,,,FB,10,10,0,0,0,,NA,0,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,59,0,0,6,6,1,0,18,NA,100,28,35,0,0,0,20,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,83
